m_campaign_0,m_campaign_1,m_campaign_2,m_campaign_3
0.511822,0.421871,0.446652,0.706666
0.950464,0.177264,0.417574,0.580147
0.144160,0.273374,0.382433,0.905060
0.948649,0.511893,0.215161,0.705915
0.311831,0.349967,0.237321,0.460879
0.423326,0.457810,0.254748,0.599279
0.827703,0.349731,0.086059,0.651664
0.409199,0.228033,0.353331,0.671425
0.549594,0.283807,0.074328,0.473996
0.027559,0.169542,0.277088,0.578459
0.753513,0.364922,0.167357,0.751834
0.538143,0.297492,0.151940,0.422770
0.329732,0.495507,0.300002,0.460389
0.788429,0.206963,0.027538,0.340941
0.303195,0.468239,0.451366,0.645643
0.453498,0.453310,0.253725,0.510146
0.134042,0.397502,0.216705,0.619372
0.403113,0.391654,0.139399,0.710706
0.203455,0.290797,0.247391,0.624328
0.262313,0.347066,0.344548,0.570131
0.750365,0.491641,0.193274,0.616942
0.280409,0.296329,0.334869,0.580927
0.485191,0.438089,0.297058,0.803310
0.980737,0.479776,0.435933,0.524843
0.961657,0.577209,0.212108,0.647154
0.724790,0.201376,0.316936,0.740579
0.541227,0.412127,0.082868,0.574517
0.276891,0.243241,0.464815,0.659996
0.160652,0.545015,0.216855,0.513754
0.969925,0.601392,0.347582,0.832041
0.516069,0.209602,0.290951,0.815924
0.115866,0.245947,0.190414,0.609274
0.623490,0.387310,0.251329,0.253533
0.776683,0.490661,0.256031,0.522360
0.613003,0.435460,0.444817,0.428986
0.917298,0.347875,0.376231,0.496958
0.039593,0.429475,0.455116,0.525708
0.528589,0.500161,0.169382,0.787705
0.459336,0.569854,0.172426,0.619514
0.062350,0.269655,0.150701,0.626105
0.641328,0.520867,0.551777,0.603434
0.852633,0.445611,0.195792,0.509664
0.592941,0.410995,0.151264,0.746458
0.260097,0.382193,0.593069,0.684590
0.839882,0.403313,0.242365,0.803806
0.509496,0.387633,0.391924,0.833290
0.510889,0.453065,0.074524,0.663802
0.753030,0.562433,0.260242,0.719474
0.147922,0.314163,0.139447,0.325621
0.819627,0.063041,0.340427,0.670709
0.683287,0.167173,0.241427,0.707295
0.787097,0.562181,0.749132,0.541512
0.191616,0.576085,0.091574,0.721844
0.802364,0.538160,0.115563,0.741618
0.191324,0.425042,0.264503,0.565719
0.081553,0.425884,0.563640,0.576816
0.855227,0.370891,0.345717,0.630079
0.861283,0.349883,0.483663,0.680159
0.876537,0.580054,0.343230,0.597043
0.471910,0.409195,0.096758,0.536093
0.274048,0.328456,0.216277,0.608297
0.007092,0.448637,0.192321,0.267382
0.645721,0.240611,0.026833,0.649069
0.719909,0.457410,0.366780,0.314419
0.835569,0.327448,0.460067,0.559337
0.281878,0.460950,0.256489,0.604647
0.215218,0.394629,0.312321,0.633844
0.639331,0.530310,0.101555,0.472888
0.805055,0.483497,0.233397,0.653487
0.963671,0.655175,0.387018,0.493188
0.150525,0.424489,0.294858,0.649359
0.482212,0.512752,0.345370,0.585459
0.894716,0.449122,0.326753,0.546464
0.422717,0.476039,0.154430,0.498074
0.589502,0.550748,0.207188,0.549916
0.024491,0.341591,0.173013,0.683582
0.673460,0.499401,0.136695,0.662970
0.919089,0.574343,0.250730,0.647255
0.826825,0.674922,0.166063,0.590896
0.885520,0.273647,0.219803,0.483499
0.660355,0.330606,0.304127,0.670737
0.245552,0.377283,0.113371,0.505642
0.768517,0.363693,0.436901,0.700843
0.211675,0.584090,0.186388,0.591115
0.831275,0.165917,0.451388,0.595017
0.062718,0.551444,0.096368,0.667809
0.825488,0.235532,0.505634,0.761653
0.164507,0.584164,0.298330,0.591165
0.375147,0.569689,0.087400,0.478479
0.316738,0.394734,0.204218,0.633320
0.691337,0.287642,0.145668,0.581797
0.178572,0.295457,0.489356,0.502501
0.396256,0.322699,0.154271,0.578789
0.005825,0.523849,0.408280,0.627933
0.262495,0.412338,0.064903,0.613864
0.421189,0.537971,0.315709,0.617932
0.105921,0.482744,0.314611,0.673127
0.633160,0.621791,0.149406,0.707499
0.380424,0.449994,0.086032,0.480245
0.725294,0.285690,0.387320,0.765569
0.653866,0.414211,0.065964,0.770000
0.431227,0.476978,0.326422,0.514901
0.867321,0.356401,0.175804,0.628065
0.632135,0.821390,0.105543,0.464380
0.810274,0.306360,0.182089,0.540708
0.341795,0.574164,0.318528,0.712116
0.543669,0.397038,0.315662,0.560721
0.196297,0.521747,0.292622,0.581982
0.996141,0.409953,0.292971,0.535055
0.243215,0.415324,0.219370,0.467581
0.256867,0.465461,0.369418,0.621532
0.073190,0.407307,0.451353,0.729234
0.257803,0.384528,0.330050,0.534510
0.763129,0.258478,0.296590,0.755583
0.697894,0.453741,0.430913,0.546454
0.128673,0.610166,0.336112,0.703886
0.376239,0.589290,0.198046,0.610382
0.420921,0.199507,0.147439,0.745256
0.664984,0.380956,0.478837,0.486963
0.455929,0.429129,0.168740,0.551365
0.586518,0.245620,0.234656,0.556783
0.839685,0.466672,0.500126,0.716987
0.726474,0.379936,0.497031,0.514381
0.365007,0.264947,0.314253,0.629562
0.448396,0.304467,0.436616,0.526765
0.367700,0.150404,0.537100,0.346649
0.109735,0.311511,0.213763,0.452905
0.203242,0.463154,0.346257,0.470957
0.283806,0.398076,0.350770,0.696035
0.314134,0.312956,0.285204,0.572526
0.313048,0.320218,0.264549,0.441078
0.576700,0.392038,0.474499,0.630279
0.971690,0.474779,0.373923,0.498300
0.774664,0.642573,0.029864,0.786534
0.791134,0.399684,0.255941,0.593648
0.759269,0.382952,0.177152,0.434946
0.596988,0.363159,0.055605,0.675398
0.917692,0.510585,0.140713,0.490975
0.689630,0.423102,0.120723,0.656342
0.500356,0.565319,0.457665,0.534656
0.077084,0.414596,0.432565,0.706796
0.488449,0.298689,0.357764,0.681366
0.212831,0.249901,0.245531,0.523184
0.132696,0.411520,0.107963,0.525074
0.506065,0.295099,0.171879,0.564336
0.785085,0.462467,0.503853,0.414693
0.295006,0.493924,0.375145,0.513579
0.768772,0.491652,0.336637,0.582927
0.525630,0.371611,0.493432,0.649498
0.149048,0.415394,0.431295,0.691247
0.964968,0.310147,0.184374,0.550692
0.401636,0.405757,0.665974,0.697414
0.295234,0.508631,0.162550,0.734247
0.846998,0.442812,0.370143,0.313807
0.124460,0.451897,0.165011,0.643364
0.733590,0.604928,0.394044,0.494747
0.187825,0.332564,0.040458,0.421070
0.392492,0.446148,0.151313,0.504205
0.231900,0.543860,0.372782,0.523346
0.841228,0.348030,0.022094,0.612670
0.390075,0.203608,0.178957,0.489807
0.974693,0.335381,0.557791,0.498737
0.625261,0.333643,0.176310,0.593095
0.693623,0.332733,0.012661,0.583381
0.521525,0.407703,0.167469,0.560066
0.308968,0.418894,0.218426,0.457613
0.395556,0.365044,0.074009,0.552629
0.940934,0.344643,0.539446,0.534616
0.201203,0.407167,0.146860,0.662565
0.988219,0.473602,0.436119,0.588309
0.758306,0.179234,0.190129,0.322113
0.359787,0.512528,0.203842,0.569162
0.641514,0.266413,0.335693,0.550909
0.380982,0.558299,0.377976,0.668213
0.381493,0.397862,0.393046,0.657771
0.503803,0.419469,0.088160,0.729623
0.016723,0.648549,0.132928,0.515558
0.493572,0.551933,0.367358,0.889364
0.971598,0.383502,0.260566,0.780891
0.285465,0.300126,0.165727,0.454215
0.748218,0.429137,0.509911,0.669979
0.442789,0.190743,0.368791,0.532006
0.209281,0.220615,0.240792,0.220876
0.905003,0.310000,0.470282,0.496315
0.016827,0.375158,0.268040,0.631482
0.303509,0.460810,0.115971,0.468876
0.999026,0.245733,0.546204,0.585926
0.262147,0.526930,0.007559,0.655288
0.849045,0.384925,0.439896,0.564189
0.605683,0.296525,0.520849,0.792169
0.806036,0.532095,0.288325,0.736266
0.630318,0.459846,0.265504,0.743061
0.362697,0.529585,0.276477,0.482259
0.760789,0.617680,0.353665,0.634375
0.026485,0.509697,0.355760,0.762078
0.446813,0.351580,0.493863,0.524499
0.371855,0.666554,0.517703,0.512578
0.477074,0.482127,0.166487,0.682320
0.127621,0.509437,0.164343,0.626152
0.222507,0.358615,0.049170,0.537641
0.562052,0.429439,0.375404,0.319548
0.387769,0.437445,0.551056,0.455270
0.791656,0.329160,0.137524,0.574991
0.605137,0.393758,0.372110,0.650506
0.861267,0.327152,0.221486,0.794602
0.732361,0.332981,0.319559,0.574766
0.601823,0.447669,0.294436,0.510469
0.287616,0.154373,0.253414,0.990146
0.782760,0.484099,0.193272,0.327725
0.251268,0.395566,0.325574,0.495507
0.075211,0.262554,0.209479,0.593626
0.962865,0.394955,0.144005,0.539082
0.540011,0.361986,0.074631,0.795742
0.773894,0.537477,0.457601,0.597708
0.529223,0.453810,0.294832,0.663107
0.611580,0.309316,0.695647,0.884236
0.033892,0.565204,0.140289,0.713393
0.186794,0.532829,0.217267,0.908327
0.674689,0.413107,0.474849,0.538166
0.570565,0.228476,0.415786,0.468360
0.158555,0.450600,0.194841,0.452535
0.952029,0.376782,0.075887,0.681812
0.154354,0.438914,0.280291,0.428955
0.510303,0.245251,0.135450,0.560287
