m_campaign_0,m_campaign_1,m_campaign_2,m_campaign_3
0.990734,0.321675,0.250414,0.475981
0.536633,0.498760,0.338183,0.577887
0.488341,0.594202,0.214414,0.504677
0.591974,0.382823,0.092681,0.724759
0.684073,0.662269,0.205021,0.613294
0.519704,0.389726,0.057276,0.579498
0.151388,0.688263,0.235575,0.633943
0.542795,0.256026,0.340442,0.543816
0.888903,0.473110,0.181274,0.365565
0.957645,0.518411,0.199171,0.620674
0.506320,0.349917,0.240522,0.643157
0.558927,0.256062,0.100415,0.621505
0.154845,0.619469,0.611187,0.580241
0.002598,0.275019,0.431207,0.545719
0.783374,0.509590,0.488191,0.548705
0.254154,0.041398,0.109146,0.627331
0.090238,0.265377,0.238070,0.559082
0.212156,0.160475,0.573580,0.569678
0.232779,0.290966,0.201297,0.555438
0.428328,0.103528,0.167301,0.544156
0.804609,0.402652,0.140437,0.596229
0.055337,0.488228,0.214698,0.454394
0.187850,0.395342,0.381331,0.606639
0.506679,0.396017,0.155459,0.534589
0.322828,0.590235,0.829092,0.649076
0.572072,0.522065,0.103551,0.765813
0.923518,0.483040,0.555873,0.686562
0.775382,0.407442,0.547178,0.831228
0.527187,0.325803,0.834888,0.447440
0.003666,0.514455,0.416646,0.949311
0.609033,0.299905,0.185589,0.694489
0.026237,0.324515,0.135534,0.584639
0.231708,0.568883,0.132857,0.667066
0.571717,0.434662,0.255962,0.448736
0.488093,0.539325,0.373722,0.654871
0.368177,0.602128,0.047526,0.582106
0.748407,0.310062,0.037832,0.511619
0.205044,0.415398,0.208416,0.446799
0.546416,0.469748,0.292469,0.633889
0.174579,0.358689,0.638780,0.458049
0.458395,0.203286,0.102095,0.629081
0.732269,0.452731,0.161744,0.553923
0.377971,0.278738,0.625014,0.589556
0.606503,0.464068,0.392592,0.625238
0.793784,0.228107,0.272526,0.601064
0.464512,0.385322,0.440834,0.647201
0.030619,0.463837,0.336499,0.392305
0.275913,0.349633,0.453319,0.540872
0.621435,0.396411,0.198682,0.696625
0.217215,0.370882,0.116255,0.563183
0.596466,0.360264,0.354791,0.693516
0.243658,0.765778,0.509202,0.672983
0.383978,0.243149,0.326394,0.507262
0.040971,0.232392,0.072587,0.687044
0.957203,0.544260,0.053573,0.410037
0.047401,0.448422,0.230172,0.732851
0.919147,0.518534,0.569122,0.452970
0.227394,0.426950,0.163412,0.603598
0.374663,0.350188,0.173442,0.592993
0.209181,0.543223,0.616404,0.699544
0.529516,0.438655,0.249033,0.620635
0.972191,0.173614,0.425589,0.668171
0.380539,0.470842,0.173555,0.506013
0.035209,0.379031,0.246083,0.773045
0.364520,0.402485,0.255343,0.627987
0.270911,0.212463,0.426621,0.736601
0.353480,0.452218,0.228231,0.566029
0.237425,0.495752,0.524943,0.603291
0.048966,0.446519,0.427980,0.583442
0.452023,0.333960,0.043382,0.703686
0.755575,0.485328,0.473406,0.741196
0.435337,0.587582,0.428089,0.519479
0.112650,0.507419,0.339027,0.656484
0.959610,0.156860,0.129986,0.625635
0.087219,0.472319,0.308009,0.537534
0.791034,0.450411,0.377701,0.567323
0.835995,0.506843,0.542822,0.671487
0.635261,0.453112,0.159681,0.414401
0.063807,0.464824,0.162185,0.764213
0.875375,0.382154,0.382378,0.396448
0.464358,0.458202,0.431971,0.861564
0.257325,0.294219,0.385957,0.596115
0.395095,0.334772,0.780418,0.574943
0.056490,0.576140,0.185401,0.676531
0.711205,0.391719,0.087680,0.746573
0.765158,0.539874,0.626580,0.628595
0.874736,0.418163,0.115297,0.448001
0.674845,0.365792,0.253244,0.685701
0.140335,0.404309,0.320722,0.602022
0.568401,0.415854,0.243483,0.686544
0.346255,0.227974,0.172142,0.610631
0.555577,0.314091,0.302300,0.540976
0.642369,0.370161,0.174526,0.476026
0.207060,0.471149,0.466002,0.475554
0.265465,0.301852,0.232526,0.926300
0.203077,0.166721,0.148908,0.459782
0.372445,0.303396,0.135700,0.683274
0.347299,0.539019,0.507937,0.570762
0.932226,0.431314,0.344571,0.413616
0.062583,0.319906,0.216398,0.665383
0.334951,0.445403,0.608819,0.854631
0.378908,0.363539,0.123777,0.483978
0.443519,0.480998,0.255382,0.785871
0.245768,0.238353,0.068662,0.547309
0.394638,0.216821,0.248943,0.732054
0.467857,0.286809,0.392160,0.683639
0.974900,0.429712,0.003102,0.749749
0.097229,0.439266,0.029906,0.683286
0.236064,0.378902,0.328678,0.753955
0.289975,0.339563,0.251309,0.819216
0.752217,0.424459,0.401994,0.713728
0.028992,0.380171,0.454794,0.313321
0.190382,0.423884,0.274214,0.529339
0.402343,0.493490,0.175564,0.626627
0.920011,0.558079,0.380312,0.481317
0.629198,0.527673,0.169887,0.555519
0.171925,0.544535,0.643749,0.608105
0.506798,0.269718,0.341760,0.567949
0.461550,0.393710,0.414097,0.552171
0.097225,0.387940,0.265122,0.398650
0.139621,0.369947,0.239286,0.596268
0.570755,0.577549,0.181991,0.596535
0.652949,0.384184,0.186078,0.653449
0.284377,0.245178,0.249204,0.499654
0.079204,0.464790,0.439460,0.550641
0.925001,0.350595,0.312140,0.605184
0.292838,0.360691,0.017730,0.662340
0.073832,0.189902,0.213058,0.562769
0.708926,0.356975,0.163976,0.622732
0.369637,0.737976,0.167196,0.581722
0.830042,0.191339,0.285947,0.573780
0.578454,0.661054,0.280808,0.757786
0.921139,0.411360,0.192134,0.797358
0.989314,0.548456,0.161224,0.692318
0.694752,0.387252,0.373659,0.437838
0.403208,0.533255,0.354062,0.715680
0.785126,0.480259,0.276506,0.664156
0.596974,0.506674,0.265324,0.545461
0.021598,0.262813,0.468960,0.746935
0.981959,0.471803,0.504274,0.787664
0.857029,0.395102,0.428366,0.456085
0.975111,0.386172,0.174493,0.784582
0.664903,0.129655,0.211004,0.822765
0.510393,0.241924,0.124602,0.484025
0.053609,0.393982,0.040982,0.509523
0.073376,0.574769,0.233013,0.769229
0.398596,0.396834,0.261741,0.727672
0.480005,0.544194,0.181136,0.649617
0.032609,0.341570,0.380043,0.790184
0.396964,0.442152,0.484858,0.653487
0.016412,0.497191,0.389209,0.611843
0.359509,0.379468,0.587804,0.500486
0.214919,0.552980,0.085659,0.594139
0.785213,0.348606,0.367585,0.614620
0.570891,0.358647,0.139013,0.681514
0.657614,0.452585,0.255813,0.491790
0.595550,0.322582,0.161507,0.691167
0.523905,0.566406,0.262846,0.655186
0.444859,0.381131,0.168682,0.542096
0.508552,0.349763,0.302768,0.479802
0.203663,0.312428,0.399933,0.670959
0.656875,0.506633,0.384347,0.546272
0.280537,0.425553,0.024310,0.826835
0.086065,0.336379,0.533370,0.631293
0.867044,0.307400,0.404935,0.769343
0.511634,0.671377,0.201196,0.732053
0.822374,0.533744,0.652141,0.526924
0.808889,0.310040,0.069925,0.612744
0.812208,0.242522,0.259156,0.523688
0.079198,0.512489,0.381470,0.498818
0.964847,0.421017,0.034177,0.496257
0.853596,0.426181,0.320758,0.658146
0.168464,0.539760,0.220389,0.642923
0.164058,0.497661,0.355856,0.567459
0.501426,0.311913,0.434878,0.463973
0.694802,0.371184,0.420420,0.691894
0.337480,0.354284,0.140116,0.557610
0.400306,0.315126,0.166617,0.672797
0.341187,0.361210,0.274977,0.596400
0.415706,0.631957,0.248743,0.586337
0.665396,0.209534,0.143933,0.316891
0.440995,0.603713,0.214277,0.610436
0.033796,0.437258,0.299790,0.658897
0.474195,0.370193,0.074333,0.758627
0.983274,0.460668,0.110044,0.659214
0.231012,0.570345,0.150157,0.781527
0.105011,0.412588,0.079098,0.630520
0.864745,0.321666,0.156896,0.538962
0.184850,0.309841,0.192220,0.620210
0.327487,0.416222,0.344967,0.832261
0.467737,0.432665,0.493630,0.592298
0.136281,0.217567,0.392036,0.685462
0.190897,0.337557,0.792173,0.588259
0.610538,0.325635,0.049757,0.636592
0.540033,0.382382,0.350746,0.523982
0.981180,0.287416,0.161232,0.733210
0.788123,0.399525,0.739617,0.676529
0.700457,0.501671,0.113493,0.775852
0.382297,0.382398,0.506254,0.553773
0.743205,0.373627,0.320644,0.694750
0.880123,0.487252,0.329619,0.727381
0.210683,0.406838,0.093958,0.603710
0.386717,0.433507,0.282449,0.356551
0.326016,0.426130,0.735069,0.763795
0.040294,0.312956,0.021437,0.400206
0.797562,0.310618,0.461767,0.611096
0.532419,0.378768,0.094572,0.627624
0.240824,0.375246,0.333476,0.330454
0.064706,0.427487,0.438145,0.597194
0.079317,0.459693,0.133242,0.577224
0.000775,0.324895,0.402582,0.664403
0.686980,0.449915,0.275346,0.677688
0.162224,0.277135,0.420104,0.601505
0.636067,0.362927,0.248888,0.541881
0.412578,0.671523,0.259262,0.681093
0.237261,0.557149,0.128865,0.471508
0.833644,0.205118,0.193108,0.482008
0.309252,0.357087,0.348536,0.482770
0.662634,0.511194,0.237439,0.407850
0.437763,0.498786,0.299339,0.667248
0.125263,0.379508,0.406165,0.665458
0.848372,0.141346,0.582711,0.549524
0.419525,0.327866,0.050274,0.625901
0.011808,0.501061,0.306885,0.479480
0.361642,0.656559,0.130850,0.487983
0.067216,0.335906,0.393268,0.516343
0.181889,0.589387,0.336675,0.822319
0.271055,0.217032,0.222125,0.346160
0.083566,0.367520,0.017986,0.596866
0.105437,0.404559,0.142962,0.838680
0.290371,0.394762,0.237112,0.589891
0.950385,0.496421,0.143088,0.619980
0.142002,0.377973,0.672286,0.441178
0.415965,0.427538,0.099649,0.562930
0.073871,0.262254,0.422889,0.654608
0.523310,0.452535,0.196110,0.734801
0.294858,0.510337,0.276213,0.702871
0.548310,0.446415,0.201952,0.689489
0.332915,0.372212,0.462750,0.453342
0.910195,0.579440,0.530475,0.420317
0.323711,0.568854,0.186057,0.569347
0.605193,0.659515,0.253889,0.791667
0.767905,0.631518,0.497996,0.453203
0.682956,0.507523,0.300610,0.446808
0.071708,0.278544,0.581600,0.602935
0.416296,0.368913,0.515903,0.509703
0.122462,0.374416,0.097276,0.642120
0.104075,0.374959,0.099171,0.646805
