m_campaign_0,m_campaign_1,m_campaign_2
0.353756,0.295867,0.225948
0.996336,0.452112,0.908400
0.664178,0.240895,0.707920
0.623200,0.284922,0.767403
0.697257,0.359201,0.238388
0.409589,0.264083,0.694968
0.627758,0.277147,0.180762
0.520321,0.197756,0.248278
0.973050,0.261754,0.729180
0.734338,0.744329,0.770314
0.434972,0.115196,0.161314
0.318472,0.146741,0.192874
0.330690,0.272870,0.747985
0.901736,0.229098,0.268715
0.641984,0.510537,0.641996
0.441903,0.114088,0.133141
0.983739,0.420468,0.847337
0.967313,0.420594,0.764961
0.875154,0.106886,0.231776
0.263448,0.280086,0.242348
0.258727,0.196866,0.192974
0.322573,0.277441,0.724952
0.973141,0.664592,0.252991
0.472965,0.153090,0.718491
0.724410,0.344545,0.753315
0.976505,0.456747,0.343473
0.327705,0.197249,0.259741
0.704232,0.303163,0.770119
0.572369,0.442805,0.747792
0.276090,0.192282,0.708995
0.126289,0.125412,0.110528
0.770568,0.414866,0.716898
0.508849,0.426419,0.355520
0.714780,0.548321,0.282037
0.496262,0.130895,0.250476
0.009642,0.034890,0.088962
0.135089,0.083338,0.054760
0.421312,0.487596,0.816177
0.102078,0.192636,0.193542
0.078731,0.053069,0.147188
0.710110,0.394495,0.725730
0.167150,0.144369,0.252454
0.410472,0.465377,0.712951
0.806041,0.330960,0.620566
0.198726,0.131527,0.104877
0.638874,0.180319,0.800993
0.198042,0.299375,0.188847
0.503876,0.248826,0.209417
0.808662,0.508741,0.849423
0.181841,0.063960,0.085732
0.769139,0.500438,0.827912
0.599947,0.353348,0.699933
0.544113,0.153996,0.257325
0.366701,0.432548,0.221474
0.710897,0.438514,0.158365
0.756458,0.277073,0.243575
0.138066,0.198143,0.235187
0.234925,0.232374,0.294471
0.028031,0.169581,0.242782
0.685225,0.293930,0.159406
0.125475,0.269784,0.160035
0.758158,0.203857,0.193854
0.368297,0.163453,0.164070
0.985656,0.529509,0.831378
0.671999,0.322613,0.223408
0.012036,0.075384,0.131583
0.163973,0.181302,0.062542
0.523799,0.318304,0.782507
0.021413,0.142274,0.197255
0.990828,0.553082,0.790652
0.408812,0.251220,0.264569
0.313083,0.136084,0.199061
0.939087,0.257634,0.770784
0.931560,0.247288,0.857058
0.775504,0.474017,0.192334
0.080448,0.309064,0.226853
0.113802,0.174264,0.147407
0.025926,0.003058,0.097452
0.215305,0.392248,0.796020
0.225091,0.371181,0.251272
0.919475,0.473530,0.823616
0.283087,0.216028,0.688968
0.811921,0.637392,0.657117
0.374529,0.151365,0.166414
0.731009,0.537607,0.768254
0.934362,0.267454,0.833592
0.733302,0.455958,0.645692
0.714493,0.528737,0.840784
0.527675,0.433944,0.264686
0.739246,0.665252,0.729359
0.731695,0.393772,0.682756
0.075195,0.065685,0.166796
0.550276,0.159434,0.130980
0.467934,0.254361,0.133559
0.138922,0.393564,0.099335
0.442225,0.562152,0.239589
0.833299,0.357166,0.764027
0.049125,0.025173,0.029790
0.252594,0.283765,0.658229
0.978821,0.608177,0.778648
0.136075,0.055438,0.138298
0.921057,0.212950,0.774534
0.476165,0.400868,0.730081
0.095856,0.080841,0.151971
0.287418,0.194139,0.259855
0.565734,0.664073,0.761378
0.101617,0.127232,0.772223
0.265369,0.256263,0.643123
0.671777,0.265406,0.158356
0.805718,0.315670,0.666846
0.537341,0.515249,0.225138
0.296419,0.161106,0.178392
0.903409,0.389215,0.744938
0.444916,0.141197,0.754115
0.931447,0.517527,0.246830
0.612898,0.182424,0.669298
0.056301,0.048879,0.180481
0.191373,0.199858,0.711080
0.231203,0.039217,0.160202
0.342786,0.322734,0.715428
0.498034,0.298059,0.220599
0.849099,0.263103,0.381644
0.537012,0.498413,0.864686
0.968136,0.630589,0.843473
0.340850,0.331616,0.147726
0.435664,0.165391,0.693734
0.291210,0.270066,0.170117
0.448643,0.322158,0.762904
0.949345,0.263566,0.699976
0.306262,0.203874,0.250742
0.485221,0.064555,0.144574
0.281794,0.315849,0.196578
0.932952,0.469753,0.260704
0.590374,0.171592,0.099449
0.496017,0.285191,0.179633
0.172566,0.435345,0.337790
0.086398,0.356422,0.740252
0.236442,0.167118,0.254576
0.298648,0.308035,0.266823
0.329692,0.278070,0.797743
0.284835,0.247063,0.280441
0.474936,0.498698,0.262571
0.316779,0.277126,0.662765
0.005362,0.024313,0.020591
0.807666,0.271414,0.222613
0.841263,0.187957,0.733048
0.712124,0.375015,0.819968
0.002333,0.045023,0.058049
0.909340,0.712092,0.790003
0.689907,0.569940,0.694783
0.241121,0.259063,0.795565
0.378272,0.512040,0.683853
0.927101,0.514824,0.696742
0.684996,0.308614,0.232912
0.483252,0.224737,0.209007
0.829065,0.319546,0.753353
0.872447,0.356820,0.194155
0.337941,0.093064,0.813263
0.274474,0.171003,0.157110
0.222029,0.210553,0.152385
0.567567,0.208678,0.231817
0.228916,0.089154,0.195284
0.467189,0.452535,0.264573
0.604439,0.307222,0.751232
0.741856,0.452251,0.822202
0.815984,0.381733,0.682710
0.984505,0.737689,0.819355
0.512861,0.421786,0.281138
0.206609,0.103746,0.109551
0.326671,0.172432,0.156772
0.422344,0.443884,0.674869
0.150476,0.195707,0.175255
0.911260,0.258470,0.825009
0.249438,0.418042,0.326136
