m_campaign_0,m_campaign_1,m_campaign_2
0.017340,0.127617,0.107757
0.869285,0.349988,0.196539
0.489849,0.081772,0.170952
0.756216,0.456624,0.242146
0.504729,0.260920,0.175160
0.123009,0.113501,0.111474
0.592288,0.147999,0.219799
0.178170,0.130448,0.648925
0.569785,0.291096,0.755232
0.745802,0.338350,0.663778
0.873424,0.231541,0.649842
0.972379,0.710708,0.638321
0.984756,0.156458,0.714878
0.546887,0.317054,0.259318
0.239524,0.266607,0.262774
0.439736,0.345509,0.126504
0.499320,0.156060,0.688605
0.372385,0.258047,0.166362
0.272899,0.105142,0.232025
0.045099,0.055082,0.190822
0.984163,0.747645,0.826941
0.361907,0.282449,0.242577
0.049011,0.310000,0.228276
0.431084,0.269654,0.761697
0.289042,0.144907,0.226273
0.374882,0.272173,0.176057
0.031871,0.125218,0.153333
0.344451,0.113623,0.056955
0.540313,0.192663,0.290617
0.477173,0.188206,0.694791
0.420332,0.480118,0.786236
0.553736,0.435777,0.185352
0.243412,0.135442,0.224611
0.998511,0.681491,0.840896
0.574781,0.344795,0.761476
0.051959,0.214439,0.065103
0.631336,0.275536,0.704747
0.811260,0.327931,0.101250
0.706030,0.221904,0.172295
0.929457,0.361304,0.750805
0.238771,0.148983,0.198877
0.577581,0.457828,0.802219
0.182852,0.088325,0.198684
0.975299,0.483919,0.839605
0.840290,0.460189,0.729291
0.149170,0.220045,0.195195
0.910394,0.332622,0.205931
0.037453,0.172903,0.049820
0.371177,0.021120,0.137149
0.178254,0.083327,0.159954
0.020457,0.122149,0.194852
0.614045,0.341808,0.143912
0.439898,0.212121,0.210194
0.877047,0.617874,0.807455
0.501715,0.255697,0.233178
0.203004,0.400578,0.202499
0.146055,0.177873,0.131013
0.667243,0.110165,0.123514
0.397739,0.567980,0.771686
0.343357,0.156670,0.151669
0.438630,0.060626,0.699355
0.777124,0.326546,0.257634
0.798176,0.692033,0.843836
0.639025,0.360116,0.826205
0.341225,0.338056,0.784937
0.501109,0.333680,0.184230
0.634148,0.256718,0.752049
0.329493,0.118097,0.580964
0.252247,0.058201,0.150479
0.755689,0.349562,0.726720
0.453271,0.080125,0.213032
0.216091,0.229955,0.186303
0.271350,0.288889,0.167797
0.647034,0.215797,0.299259
0.501749,0.485608,0.840744
0.651245,0.297715,0.771079
0.316086,0.077886,0.744507
0.627961,0.451279,0.167527
0.119146,0.086410,0.142920
0.007015,0.016172,0.042188
0.614849,0.288843,0.178169
0.249912,0.050245,0.169755
0.981353,0.279779,0.222688
0.848580,0.585141,0.683659
0.699037,0.683888,0.779561
0.915663,0.435054,0.733561
0.373454,0.206925,0.649370
0.918363,0.819093,0.891985
0.305159,0.222808,0.326890
0.771059,0.197018,0.291862
0.651381,0.334477,0.788628
0.168564,0.373170,0.091395
0.053518,0.443870,0.236580
0.898415,0.474804,0.748054
0.097274,0.253987,0.248955
0.924563,0.363421,0.763885
0.344900,0.151116,0.763128
0.464818,0.268524,0.316875
0.880270,0.607861,0.705760
0.372042,0.103763,0.684306
0.935065,0.860770,0.874705
0.835172,0.362842,0.763751
