m_campaign_0,m_campaign_1,m_campaign_2
0.237245,0.568007,0.865577
0.143606,0.962486,0.696594
0.046825,0.766205,0.749422
0.023642,0.833132,0.680021
0.290595,0.569435,0.800802
0.337054,0.607583,0.760425
0.229391,0.629163,0.607448
0.262999,0.265937,0.787134
0.213579,0.624005,0.652278
0.352644,0.974073,0.779795
0.291553,0.798212,0.669233
0.004728,0.372260,0.742223
0.308324,0.730047,0.673336
0.040692,0.279008,0.793492
0.263047,0.987637,0.675398
0.113824,0.226719,0.837153
0.310903,0.868521,0.666336
0.213045,0.884352,0.703167
0.152008,0.186723,0.627518
0.183843,0.624125,0.658809
0.035926,0.219933,0.841706
0.093839,0.880386,0.555114
0.246244,0.405829,0.668165
0.239944,0.039326,0.624775
0.231636,0.470064,0.779981
0.174069,0.278227,0.729784
0.477897,0.861634,0.598172
0.408074,0.759752,0.845478
0.250351,0.442766,0.804331
0.240813,0.884808,0.738971
0.251160,0.756207,0.602736
0.175395,0.108642,0.796627
0.098383,0.876792,0.701997
0.260625,0.967353,0.796788
0.209075,0.086567,0.653476
0.154883,0.645808,0.629130
0.199382,0.746721,0.672723
0.323725,0.640739,0.639956
0.351841,0.688346,0.669405
0.167451,0.057853,0.740784
0.220516,0.896816,0.721894
0.158015,0.484484,0.762645
0.226249,0.291591,0.697067
0.162270,0.150206,0.819090
0.176076,0.463355,0.732466
0.324140,0.392347,0.647388
0.130886,0.759666,0.673586
0.233652,0.383822,0.578090
0.074563,0.471834,0.657385
0.297998,0.570549,0.740229
0.281318,0.340759,0.709556
0.134637,0.319689,0.735833
0.317147,0.322390,0.650735
0.059483,0.690055,0.813058
0.161797,0.454802,0.657973
0.104430,0.572451,0.824499
0.190673,0.982539,0.638113
0.284505,0.231854,0.781927
0.131966,0.067622,0.618367
0.055042,0.234516,0.703143
0.179324,0.702117,0.677509
0.121677,0.754809,0.791928
0.078109,0.189617,0.756015
0.222724,0.383689,0.758351
0.151729,0.426919,0.728429
0.246618,0.413221,0.692805
0.122011,0.707001,0.710709
0.358424,0.971939,0.835231
0.169335,0.216411,0.675640
0.085375,0.475850,0.716550
0.235191,0.484833,0.691615
0.346700,0.178646,0.694562
0.188219,0.516332,0.764575
0.370201,0.224271,0.600570
0.202826,0.579177,0.700864
0.184473,0.308724,0.697274
0.232882,0.314508,0.740399
0.459049,0.481417,0.550091
0.364587,0.943488,0.588214
0.193058,0.883302,0.795691
0.271677,0.670408,0.663775
0.202220,0.991335,0.729357
0.210049,0.345698,0.625768
0.280871,0.038826,0.628893
0.181846,0.356186,0.907724
0.264496,0.451992,0.585684
0.257607,0.486322,0.773154
0.350319,0.830644,0.478991
0.089725,0.312984,0.698546
0.262856,0.518608,0.387182
0.346894,0.857060,0.755339
0.386140,0.182547,0.678311
0.021489,0.909154,0.698139
0.311112,0.137029,0.751163
0.408848,0.692129,0.748845
0.372999,0.950742,0.595084
0.103842,0.607084,0.623441
0.393089,0.684965,0.661765
0.323961,0.767515,0.682968
0.294009,0.241292,0.546163
0.197949,0.099477,0.639142
0.132500,0.436760,0.949504
0.286466,0.579842,0.713027
0.344144,0.269874,0.751879
0.142553,0.043800,0.811367
0.212421,0.837697,0.494329
0.188805,0.751098,0.702157
0.349534,0.946227,0.614150
0.046457,0.153735,0.644257
0.263751,0.033346,0.783501
0.231375,0.738859,0.466824
0.035969,0.866339,0.729693
0.259958,0.222130,0.726622
0.023017,0.377348,0.573780
0.271747,0.847482,0.712554
0.205980,0.011481,0.654751
0.348115,0.267080,0.563536
0.064261,0.129765,0.601963
0.301492,0.947849,0.715106
0.064634,0.044316,0.616246
0.163947,0.532741,0.635723
0.185729,0.701921,0.686364
0.383618,0.475165,0.738487
0.218196,0.262773,0.463101
0.140441,0.330857,0.728556
0.135335,0.223285,0.742459
0.323007,0.854724,0.729923
0.130485,0.002834,0.810851
0.093956,0.125851,0.711908
0.148856,0.866644,0.739007
0.224182,0.981074,0.641086
0.216172,0.442750,0.671308
0.289288,0.773488,0.493028
0.217758,0.885134,0.803622
0.148881,0.821618,0.767242
