m_campaign_0,m_campaign_1,m_campaign_2
0.239850,0.630357,0.609617
0.244424,0.905464,0.569317
0.037397,0.616136,0.788616
0.114594,0.696449,0.643064
0.221009,0.346038,0.690914
0.215446,0.822089,0.786675
0.209460,0.649834,0.796163
0.171671,0.078322,0.700863
0.060932,0.542516,0.736106
0.170586,0.858519,0.663459
0.167379,0.703233,0.772412
0.135299,0.435883,0.763531
0.049310,0.422611,0.569252
0.334590,0.666466,0.724287
0.209414,0.805759,0.830128
0.089117,0.610689,0.773218
0.100873,0.837731,0.726768
0.189814,0.458241,0.616174
0.203217,0.433638,0.844372
0.280728,0.140237,0.647612
0.046988,0.845370,0.841056
0.144224,0.506584,0.610390
0.304986,0.258904,0.609582
0.341528,0.007309,0.569839
0.218052,0.681287,0.906177
0.142815,0.930843,0.622163
0.265016,0.514865,0.673875
0.041432,0.787344,0.740946
0.240760,0.491575,0.555728
0.115584,0.332152,0.668387
0.192138,0.776397,0.755913
0.247713,0.668681,0.750711
0.314500,0.325477,0.694281
0.273680,0.748573,0.531807
0.266631,0.151183,0.755615
0.263118,0.516817,0.640284
0.188961,0.790872,0.765433
0.146697,0.164226,0.667433
0.304409,0.450755,0.585930
0.228345,0.753133,0.644082
0.238132,0.925469,0.882264
0.134990,0.824821,0.784503
0.402542,0.902940,0.754530
0.293830,0.540263,0.829337
0.199139,0.990474,0.663413
0.075674,0.505234,0.552410
0.447399,0.974770,0.830423
0.128351,0.892303,0.814715
0.207152,0.478000,0.854033
0.279372,0.495683,0.739494
0.061293,0.953511,0.684039
0.198928,0.998422,0.447049
0.325149,0.648873,0.746927
0.356335,0.401667,0.709306
0.247850,0.219144,0.793805
0.288302,0.410880,0.748989
0.177955,0.457973,0.839768
0.183724,0.698555,0.642337
0.416749,0.582496,0.720853
0.188758,0.644810,0.788892
0.152643,0.166996,0.570655
0.212525,0.203610,0.585136
0.204042,0.232868,0.661083
0.281940,0.270303,0.794675
0.302435,0.966023,0.612837
0.093693,0.373534,0.824344
0.149562,0.189148,0.599354
0.235322,0.517484,0.697015
0.115894,0.387635,0.814617
0.217778,0.830718,0.503448
0.245599,0.084149,0.823292
0.160130,0.268458,0.759137
0.090332,0.451396,0.758328
0.138503,0.140956,0.727364
0.168191,0.240203,0.909439
0.186310,0.949659,0.696611
0.284871,0.674293,0.723087
0.131659,0.476733,0.657086
0.073750,0.798791,0.709455
0.180745,0.496330,0.806447
0.190729,0.006408,0.692469
0.324241,0.756314,0.726919
0.026599,0.313904,0.761140
0.169715,0.650027,0.606823
0.308577,0.890171,0.518293
0.218931,0.078299,0.577941
0.141600,0.327509,0.691514
0.252315,0.694015,0.680954
0.277845,0.435331,0.734213
0.080162,0.347617,0.643053
0.378785,0.405284,0.727870
0.392515,0.431906,0.719443
0.180317,0.457893,0.717535
0.273045,0.114158,0.792238
0.223409,0.659672,0.642549
0.080437,0.407318,0.921609
0.349712,0.330495,0.530456
0.305048,0.470662,0.668284
0.271858,0.804041,0.758159
0.179730,0.895009,0.810655
0.135973,0.246744,0.780647
0.347167,0.315753,0.605580
0.273048,0.026040,0.725204
0.117234,0.352705,0.741259
0.233100,0.777163,0.698333
0.191442,0.133805,0.715602
0.149392,0.169812,0.522986
0.065709,0.538928,0.917685
0.511213,0.276353,0.804562
0.202222,0.123642,0.584145
0.223239,0.955022,0.842707
0.317273,0.729258,0.563227
0.329273,0.681222,0.714225
0.321865,0.111344,0.767101
0.183392,0.056875,0.600405
0.300960,0.713038,0.689271
0.256187,0.362859,0.743099
0.222935,0.349698,0.480528
0.193733,0.625001,0.805860
0.215522,0.059254,0.666840
0.013910,0.986844,0.692242
0.167523,0.146476,0.668395
0.190199,0.214730,0.578897
0.190523,0.133813,0.811023
0.337449,0.127813,0.797849
0.061391,0.105873,0.699380
0.330051,0.688048,0.773883
0.324171,0.692603,0.753321
0.250595,0.547808,0.585457
0.155971,0.537747,0.744136
0.158482,0.857905,0.634293
0.070837,0.730709,0.690120
0.182955,0.288727,0.701707
0.196593,0.692504,0.695197
0.439557,0.187961,0.711666
0.158254,0.685727,0.635754
0.244407,0.278364,0.654917
0.282725,0.483182,0.651447
0.225275,0.631139,0.749743
0.276377,0.591216,0.744723
0.184022,0.542262,0.757194
0.158288,0.153965,0.749725
0.326686,0.407928,0.745052
0.250584,0.611486,0.705369
0.408974,0.008697,0.762057
0.095361,0.326997,0.715121
0.091515,0.954192,0.615800
0.303129,0.031356,0.726975
0.165793,0.367645,0.785963
0.356427,0.595520,0.671997
0.142787,0.422935,0.636479
0.204681,0.162371,0.711335
0.194235,0.899936,0.678036
0.085102,0.303658,0.625295
0.311318,0.066585,0.759876
0.072073,0.137058,0.679647
0.226477,0.203709,0.614117
0.193761,0.288890,0.553945
0.116829,0.198280,0.559867
0.039676,0.229516,0.799738
0.139745,0.584358,0.858658
0.430687,0.719472,0.886080
0.137495,0.939415,0.814276
0.244484,0.219587,0.583566
0.197861,0.368106,0.673990
0.157792,0.888846,0.671594
0.294118,0.574090,0.747673
0.172352,0.764008,0.498246
0.167957,0.558454,0.696130
0.059285,0.458917,0.585538
0.126407,0.948698,0.636613
0.243487,0.617657,0.747958
0.058911,0.636425,0.691897
0.353858,0.360519,0.730823
0.278538,0.789088,0.715440
0.227575,0.241092,0.678887
0.188967,0.956684,0.667462
0.111329,0.693564,0.749027
0.289326,0.949051,0.649448
0.313606,0.120685,0.775685
0.061623,0.387253,0.571800
0.151725,0.523895,0.706158
0.172367,0.625198,0.629663
0.211850,0.655080,0.633372
0.235003,0.456062,0.934834
0.387826,0.909059,0.636413
0.302397,0.473940,0.881739
0.302091,0.246983,0.772585
0.169938,0.190085,0.789341
0.226802,0.909903,0.666575
0.146789,0.962489,0.696594
0.269294,0.563992,0.692572
0.323183,0.712573,0.649689
0.165148,0.119728,0.800235
0.187112,0.736933,0.635520
0.103499,0.471982,0.637229
0.021867,0.520789,0.841234
0.233340,0.415384,0.708783
0.180816,0.876413,0.683767
0.175018,0.213497,0.691919
0.279635,0.948274,0.851371
0.326227,0.590141,0.556401
0.153681,0.445729,0.710108
0.205593,0.907242,0.644832
0.262455,0.177453,0.536653
0.219410,0.779767,0.874136
0.288880,0.741656,0.884367
0.113664,0.131589,0.628167
0.017955,0.987591,0.787779
0.021068,0.832529,0.910610
0.191500,0.854449,0.753340
0.256657,0.734176,0.641923
0.260623,0.210435,0.708857
0.190431,0.728517,0.841811
0.283770,0.757010,0.664878
0.117497,0.302971,0.591768
0.386162,0.305806,0.684908
0.118695,0.375022,0.520583
0.091005,0.297861,0.592424
0.028655,0.015747,0.697154
0.335817,0.135737,0.804287
0.156843,0.454312,0.784105
0.208746,0.736906,0.756489
0.307836,0.994657,0.592859
0.293988,0.888600,0.647287
0.276967,0.546823,0.613098
0.266274,0.099223,0.537455
0.193629,0.447602,0.578888
0.060265,0.812291,0.678320
0.278805,0.372677,0.732931
0.035454,0.257297,0.600245
0.108045,0.727240,0.817646
0.161722,0.099199,0.570677
0.141883,0.208909,0.481253
0.171361,0.934959,0.591172
0.207833,0.799973,0.786124
0.013852,0.300511,0.594058
0.197488,0.378195,0.694560
0.389652,0.670086,0.538864
0.194480,0.572169,0.745479
0.173658,0.166835,0.635573
0.259627,0.952188,0.673623
0.235331,0.762283,0.749811
0.031951,0.082640,0.732231
0.269871,0.440198,0.905966
0.266833,0.022806,0.654143
0.055592,0.129436,0.607347
0.363134,0.130947,0.657503
0.160136,0.978642,0.789211
0.237153,0.275588,0.820548
0.274812,0.457824,0.748846
0.234001,0.287696,0.767807
0.168553,0.239389,0.511803
0.363347,0.799775,0.640661
0.150437,0.679504,0.487689
0.048293,0.125408,0.545508
0.180109,0.608677,0.787461
0.077325,0.243345,0.780689
0.213216,0.904346,0.678109
0.312178,0.886893,0.782915
0.406805,0.560074,0.623658
0.186488,0.259415,0.567995
0.152886,0.623583,0.543983
0.122573,0.659968,0.625599
0.106996,0.175856,0.751651
0.140321,0.805407,0.714771
0.047210,0.392025,0.639208
0.156402,0.827367,0.757218
0.149816,0.644920,0.505995
0.197649,0.774600,0.665276
0.111146,0.382160,0.719247
0.241954,0.311894,0.603839
0.232724,0.902043,0.587463
0.109742,0.046161,0.706250
0.192520,0.443072,0.720819
0.151723,0.411779,0.849158
0.237573,0.449951,0.903091
0.242579,0.381014,0.767552
0.150659,0.398509,0.772010
0.081376,0.586734,0.795031
0.158806,0.266966,0.764478
0.071369,0.138188,0.710332
0.303212,0.684709,0.885237
0.315365,0.004050,0.721657
0.328737,0.579771,0.556660
0.348621,0.398703,0.659397
0.244239,0.656846,0.711065
0.078868,0.055443,0.659716
0.315606,0.999555,0.660527
0.243445,0.049917,0.715270
0.308065,0.141832,0.534273
0.224633,0.877553,0.779001
0.205832,0.999197,0.813566
0.250474,0.563384,0.658406
0.137300,0.356781,0.845409
0.164109,0.361678,0.898321
0.253337,0.283759,0.764467
0.307663,0.613273,0.519605
0.142436,0.200483,0.743158
0.404601,0.938900,0.692438
0.225428,0.506645,0.602320
0.269685,0.824365,0.779462
0.152767,0.369785,0.850554
0.173191,0.102085,0.626263
0.303056,0.392205,0.778235
0.228600,0.178488,0.792061
0.273000,0.788339,0.645775
0.255964,0.463263,0.773115
0.330605,0.211208,0.694627
0.306019,0.960891,0.676492
0.289567,0.195857,0.583903
0.205730,0.356558,0.769879
0.153346,0.511580,0.559697
0.262035,0.584328,0.831115
0.291537,0.437512,0.790716
0.319488,0.462610,0.610704
0.208199,0.774655,0.582057
0.209455,0.634572,0.785142
0.124626,0.960310,0.756855
0.218712,0.111386,0.671103
0.262435,0.051400,0.782733
0.368365,0.920570,0.711915
0.300980,0.952184,0.657365
0.148344,0.206958,0.743641
0.215222,0.914440,0.533445
0.203574,0.009128,0.463335
0.071433,0.318620,0.850783
0.246277,0.561162,0.850801
0.026576,0.809994,0.763773
0.088490,0.006004,0.725326
0.066776,0.498891,0.882043
0.268010,0.007710,0.648810
0.383079,0.846162,0.666736
0.205797,0.805749,0.671856
0.305385,0.013666,0.700967
0.232847,0.114829,0.682468
0.159078,0.645654,0.749916
0.213422,0.584122,0.600588
0.334743,0.737559,0.689194
0.279900,0.701746,0.693748
0.204295,0.943202,0.673590
0.226324,0.047572,0.470009
0.230901,0.103395,0.836610
0.283895,0.904709,0.770722
0.232361,0.088984,0.703788
0.335245,0.262412,0.595359
0.251146,0.612281,0.787153
0.130907,0.595733,0.816694
0.169354,0.784025,0.584151
0.150740,0.889732,0.532411
0.092938,0.896946,0.823138
0.024182,0.760745,0.695868
0.118763,0.142582,0.721477
0.201075,0.595298,0.608188
0.143904,0.335575,0.885354
0.271487,0.852126,0.694125
0.074015,0.343107,0.813724
0.356322,0.903591,0.457641
0.163195,0.629738,0.946312
0.159752,0.348898,0.704368
0.160192,0.889031,0.612611
0.128343,0.494940,0.762304
0.035043,0.016743,0.528526
0.084150,0.619812,0.979460
0.241638,0.746180,0.483626
0.220117,0.711723,0.813811
0.134788,0.641828,0.780723
0.287359,0.533638,0.816380
0.232909,0.375120,0.792861
0.269921,0.231030,0.558085
0.235874,0.857389,0.614698
0.174082,0.240149,0.899255
0.252685,0.212866,0.579263
0.164742,0.860819,0.709929
0.240234,0.692253,0.687316
0.051060,0.734445,0.586813
0.118666,0.720244,0.882824
0.215925,0.873864,0.688352
0.246109,0.121274,0.704199
0.263775,0.007674,0.719325
0.201273,0.440039,0.660621
0.124583,0.734629,0.798261
0.250292,0.136395,0.559778
0.230926,0.407654,0.612605
0.186585,0.359971,0.562970
0.386556,0.055962,0.507721
0.172457,0.430326,0.993611
0.356685,0.605208,0.697400
0.255825,0.100186,0.655181
0.133650,0.791609,0.750968
0.242193,0.996439,0.641847
0.044505,0.752566,0.814966
0.227511,0.072770,0.818549
0.364751,0.047317,0.740230
