m_campaign_0,m_campaign_1,m_campaign_2
0.235728,0.402451,0.754474
0.212617,0.451848,0.685282
0.176325,0.666353,0.646686
0.147649,0.540872,0.736855
0.255177,0.540451,0.841496
0.277060,0.454223,0.813069
0.196200,0.492618,0.661744
0.241244,0.432253,0.589003
0.203692,0.459480,0.738096
0.211843,0.600041,0.638122
0.158938,0.602854,0.773937
0.192024,0.557860,0.726538
0.305678,0.497973,0.592951
0.316370,0.509498,0.786410
0.171989,0.496020,0.735392
0.183936,0.379305,0.692687
0.204205,0.516152,0.600690
0.101740,0.664501,0.710023
0.018449,0.504390,0.623447
0.183131,0.492961,0.644469
0.266549,0.409301,0.663888
0.229857,0.490126,0.625750
0.293617,0.561421,0.761911
0.100304,0.459398,0.611151
0.199895,0.574815,0.695656
0.164495,0.502409,0.803096
0.174599,0.486127,0.679739
0.314676,0.537432,0.526333
0.298671,0.466734,0.792403
0.299698,0.504525,0.673484
0.267908,0.490050,0.678542
0.388791,0.541428,0.702028
0.320970,0.496395,0.722629
0.115303,0.373898,0.750214
0.282360,0.548415,0.654649
0.151975,0.597852,0.644182
0.028684,0.581935,0.535127
0.091373,0.563250,0.586282
0.189874,0.503058,0.786127
0.109116,0.346404,0.653893
0.149938,0.537164,0.835655
0.051730,0.456530,0.733886
0.056272,0.494023,0.777298
0.187680,0.621066,0.675157
0.333277,0.482023,0.822940
0.086012,0.504405,0.728419
0.042190,0.334391,0.694057
0.212809,0.532889,0.584891
0.208011,0.628448,0.561088
0.240243,0.586520,0.676368
0.112872,0.551355,0.774570
0.221158,0.463672,0.750285
0.014261,0.625929,0.775103
0.095210,0.391263,0.639225
0.177177,0.527364,0.765830
0.172418,0.527292,0.543894
0.127335,0.407644,0.819818
0.129526,0.460223,0.689875
0.178312,0.520168,0.516879
0.163555,0.587756,0.603406
0.069846,0.459631,0.539454
0.096430,0.478337,0.783519
0.139350,0.583961,0.528221
0.182977,0.478520,0.848244
0.180099,0.447732,0.588288
0.093176,0.611201,0.676339
0.198321,0.619529,0.745939
0.186010,0.609685,0.731828
0.137154,0.424515,0.700720
0.255032,0.576099,0.740393
0.256506,0.441727,0.785177
0.286667,0.432987,0.684101
0.099889,0.564665,0.672466
0.218994,0.637207,0.710077
0.166051,0.439178,0.560216
0.112769,0.333960,0.650332
0.211482,0.487157,0.602284
0.227967,0.573055,0.605845
0.159497,0.521571,0.633327
0.232505,0.433349,0.708040
0.100217,0.607769,0.649772
0.184984,0.390972,0.682800
0.134346,0.432981,0.622720
0.135300,0.629432,0.730810
0.219289,0.501639,0.689050
0.048506,0.549980,0.592265
0.275504,0.537486,0.572861
0.222720,0.398222,0.693010
0.266754,0.559135,0.753632
0.111095,0.382690,0.738887
0.128343,0.505522,0.790203
0.028940,0.557466,0.664006
0.276430,0.450510,0.753813
0.158498,0.454817,0.710453
0.265175,0.464810,0.706775
0.366769,0.485930,0.720449
0.107103,0.501542,0.693434
0.135647,0.416252,0.729335
0.321850,0.520401,0.742551
0.188685,0.468094,0.793918
0.310392,0.454111,0.596126
0.348318,0.447537,0.674157
0.442715,0.357299,0.800935
0.159966,0.479121,0.680500
0.100690,0.486535,0.603641
0.201712,0.429260,0.662723
0.308871,0.351579,0.778938
0.106334,0.529409,0.667343
0.073591,0.479165,0.781597
0.193576,0.543459,0.696364
0.318393,0.525897,0.596755
0.266125,0.539788,0.747095
0.221542,0.549489,0.685683
0.131524,0.511324,0.569144
0.215933,0.591464,0.697374
0.202264,0.515941,0.818740
0.159743,0.394433,0.730126
0.223504,0.427345,0.797253
0.148573,0.469068,0.693404
0.397480,0.371963,0.826906
0.373511,0.496147,0.627920
0.257619,0.566987,0.750759
0.180118,0.493093,0.627146
0.260863,0.460521,0.775410
0.200246,0.608253,0.665995
0.189378,0.551712,0.802472
0.196599,0.507015,0.683845
0.154321,0.540241,0.609455
0.064684,0.554780,0.567921
0.108672,0.526607,0.812526
0.069150,0.382320,0.721807
0.179693,0.495055,0.770753
0.228900,0.368975,0.700779
0.167981,0.577309,0.774754
0.164027,0.329021,0.760444
0.192703,0.477089,0.698376
0.230934,0.534889,0.802556
0.148913,0.553327,0.785265
0.245811,0.536637,0.638856
0.214220,0.482676,0.709881
0.230903,0.359495,0.588413
0.244961,0.518269,0.744344
0.233299,0.439965,0.630795
0.196005,0.379758,0.686664
0.104045,0.524143,0.901010
0.272856,0.493458,0.817965
0.013198,0.647396,0.571164
0.177443,0.552635,0.636883
0.317018,0.459010,0.651843
0.284111,0.479685,0.794393
0.300898,0.479000,0.665213
0.152155,0.436744,0.677838
