m_campaign_0,m_campaign_1,m_campaign_2,m_campaign_3
0.186900,0.591336,0.271575,0.589481
0.233304,0.555120,0.378994,0.581006
0.319605,0.701060,0.206971,0.581173
0.202076,0.563225,0.330478,0.562877
0.322001,0.548535,0.323681,0.499287
0.151205,0.418467,0.216829,0.344940
0.237294,0.702458,0.273911,0.627807
0.329220,0.657959,0.242954,0.613993
0.182492,0.461305,0.266434,0.507438
0.208800,0.548320,0.256210,0.421769
0.217817,0.520147,0.292109,0.573476
0.186197,0.711914,0.223202,0.490882
0.362903,0.522058,0.382714,0.491070
0.261572,0.606750,0.256374,0.662497
0.331500,0.614827,0.387427,0.684523
0.257013,0.735442,0.411766,0.550058
0.195821,0.690198,0.389593,0.545277
0.199734,0.489875,0.342311,0.583021
0.379008,0.663431,0.364020,0.562053
0.185530,0.721170,0.275671,0.486912
0.065760,0.720305,0.420400,0.466226
0.275759,0.600956,0.397991,0.493093
0.216963,0.690561,0.362217,0.517581
0.242655,0.559007,0.351813,0.494807
0.160826,0.688836,0.366309,0.706877
0.247587,0.610609,0.283430,0.547947
0.167719,0.641424,0.388445,0.663987
0.276730,0.570665,0.305854,0.408507
0.056730,0.676225,0.299538,0.596088
0.267242,0.498829,0.251162,0.450493
0.266264,0.641746,0.223297,0.537420
0.268599,0.624476,0.203254,0.482140
0.287419,0.531955,0.232236,0.645365
0.224213,0.582331,0.293720,0.608499
0.295414,0.522597,0.270904,0.660722
0.317562,0.634557,0.332706,0.487870
0.350162,0.702644,0.240968,0.593758
0.263843,0.748819,0.343648,0.578079
0.380085,0.527340,0.187461,0.577617
0.325358,0.615702,0.283143,0.616254
0.264463,0.600105,0.456095,0.426922
0.093468,0.545688,0.246042,0.476558
0.303415,0.731608,0.157952,0.771505
0.216115,0.708629,0.324425,0.615014
0.309122,0.589890,0.356953,0.511912
0.244097,0.596157,0.469889,0.522110
0.095958,0.657369,0.272165,0.576876
0.097861,0.694640,0.378435,0.513642
0.160008,0.646912,0.376960,0.709778
0.128809,0.603396,0.187989,0.438029
0.083944,0.657383,0.367348,0.395445
0.237932,0.542296,0.345569,0.521497
0.244444,0.736509,0.310099,0.583332
0.214623,0.519384,0.199104,0.616746
0.187379,0.532655,0.285955,0.477533
0.126946,0.553063,0.227775,0.524289
0.323584,0.560072,0.228132,0.485896
0.260219,0.609337,0.230323,0.594425
0.347137,0.602679,0.234205,0.582366
0.311365,0.514479,0.328090,0.647396
0.228984,0.488813,0.369032,0.507662
0.132636,0.547414,0.256037,0.624321
0.210822,0.595106,0.230589,0.488790
0.380123,0.693690,0.394888,0.657109
0.329024,0.733666,0.220965,0.494920
0.242039,0.700858,0.412477,0.626989
0.196114,0.644447,0.334586,0.522562
0.263778,0.609883,0.323189,0.499713
0.311995,0.832936,0.362139,0.600391
0.250612,0.719134,0.393935,0.543221
0.240294,0.518814,0.241736,0.440554
0.221847,0.625027,0.245600,0.634367
0.192977,0.643756,0.157266,0.483456
0.213888,0.504213,0.378305,0.507594
0.240093,0.618658,0.324794,0.407583
0.147030,0.642245,0.229519,0.670324
0.365663,0.586052,0.324637,0.584806
