m_campaign_0,m_campaign_1,m_campaign_2
0.595976,0.499827,0.777181
0.583959,0.501872,0.798697
0.692582,0.470122,0.712276
0.676312,0.566714,0.733345
0.636031,0.564723,0.715027
0.724652,0.529237,0.810587
0.682827,0.608472,0.759092
0.629515,0.570522,0.732269
0.501454,0.535973,0.707480
0.558476,0.497687,0.806014
0.610104,0.570730,0.807010
0.545009,0.537223,0.701371
0.656796,0.632649,0.755778
0.590356,0.550038,0.773742
0.610925,0.482997,0.730285
0.573016,0.578493,0.859767
0.686636,0.529958,0.765871
0.565507,0.517775,0.730221
0.632081,0.616413,0.761048
0.684986,0.496855,0.775258
0.653570,0.551116,0.817832
0.549875,0.527487,0.779649
0.633140,0.536955,0.732139
0.552492,0.595438,0.748741
0.658352,0.630394,0.761050
0.591490,0.580022,0.760489
0.557607,0.610346,0.737247
0.603886,0.539619,0.735484
0.640122,0.510088,0.763619
0.600981,0.503129,0.768394
0.563178,0.623704,0.812244
0.610653,0.574402,0.827373
0.633798,0.557182,0.722310
0.597149,0.556109,0.690637
0.677138,0.617711,0.739299
0.549566,0.584425,0.658281
0.605213,0.575601,0.787025
0.594885,0.559904,0.752594
0.589925,0.501305,0.833648
0.649235,0.631316,0.749804
0.531336,0.602915,0.744134
0.620649,0.568912,0.707532
0.616135,0.604971,0.752938
0.597626,0.561938,0.766045
0.486430,0.593887,0.622314
0.513528,0.582341,0.732727
0.551299,0.572436,0.753141
0.643565,0.583641,0.760056
0.599330,0.594431,0.688708
0.567371,0.597803,0.737573
0.478293,0.698818,0.257733
0.387401,0.651495,0.162513
0.391436,0.660512,0.068723
0.436887,0.685257,0.087909
0.386612,0.686080,0.071826
0.417982,0.704667,0.146993
0.389358,0.660002,0.186025
0.379442,0.650919,0.174301
0.437969,0.633867,0.219873
0.311532,0.792957,0.221215
0.376580,0.724496,0.128758
0.437189,0.672657,0.150153
0.388884,0.751529,0.206117
0.369198,0.645283,0.146923
0.382477,0.627776,0.163459
0.339066,0.713710,0.190309
0.399581,0.746905,0.129327
0.331302,0.659888,0.166762
0.339762,0.784544,0.250923
0.380636,0.701125,0.197911
0.385920,0.632088,0.138351
0.378240,0.653126,0.144280
0.370635,0.696607,0.221969
0.390127,0.729198,0.211350
0.395471,0.695724,0.293739
0.411522,0.636232,0.193751
0.407430,0.602794,0.181344
0.403431,0.700677,0.139638
0.347783,0.680317,0.234802
0.384428,0.668818,0.083454
0.430698,0.622134,0.201276
0.348120,0.583954,0.258310
0.353000,0.686208,0.128412
0.333346,0.705815,0.145949
0.441460,0.632495,0.152214
0.414919,0.660630,0.150535
0.411355,0.693208,0.061211
0.307336,0.783707,0.139354
0.403631,0.655843,0.240884
0.333901,0.610289,0.221462
0.447665,0.686438,0.203453
0.368134,0.647118,0.176540
0.441699,0.674357,0.210850
0.410030,0.744863,0.171222
0.317204,0.706790,0.139607
0.370431,0.665909,0.151876
0.368492,0.707487,0.205326
0.352667,0.646954,0.185264
0.385631,0.744172,0.126531
0.332270,0.665607,0.107377
0.667592,0.749239,0.305630
0.620461,0.701736,0.368795
0.671999,0.780563,0.359854
0.625975,0.839852,0.264527
0.707510,0.699132,0.271357
0.668500,0.786081,0.317532
0.739521,0.712280,0.302644
0.702952,0.676777,0.297054
0.659627,0.776492,0.344026
0.684955,0.776840,0.326199
0.716094,0.740150,0.286104
0.714537,0.721396,0.306376
0.705876,0.787250,0.355738
0.694831,0.761979,0.324850
0.634872,0.727292,0.321171
0.690417,0.715310,0.323845
0.699806,0.812478,0.268157
0.675543,0.760029,0.317782
0.685034,0.731963,0.381845
0.687377,0.705421,0.317122
0.723673,0.820718,0.291410
0.711891,0.786612,0.267476
0.695439,0.744747,0.401589
0.680300,0.792306,0.333157
0.792528,0.875068,0.300795
0.662704,0.671121,0.349052
0.760268,0.791376,0.245514
0.731324,0.666679,0.374806
0.673644,0.671378,0.295828
0.676944,0.691284,0.286639
0.665037,0.777092,0.395928
0.722697,0.677369,0.285136
0.670594,0.716384,0.326240
0.733121,0.677164,0.310398
0.733980,0.696339,0.230561
0.710272,0.805657,0.392331
0.770600,0.756869,0.370494
0.609600,0.632895,0.267974
0.597086,0.746602,0.445986
0.708487,0.737121,0.408850
0.740781,0.809856,0.307326
0.697928,0.687042,0.360327
0.728618,0.711587,0.257982
0.745788,0.736529,0.306183
0.726595,0.804962,0.361520
0.718381,0.780318,0.442003
0.687834,0.677336,0.384183
0.643679,0.684542,0.325781
0.677622,0.699240,0.383820
0.696280,0.734854,0.296565
0.123700,0.145768,0.101936
0.237791,0.300808,0.138348
0.188943,0.094122,0.147572
0.174982,0.111228,0.237370
0.237727,0.077997,0.159300
0.205297,0.105415,0.272535
0.168915,0.142279,0.217651
0.395193,0.170498,0.232344
0.272270,0.219508,0.254298
0.237977,0.136145,0.274690
0.158459,0.084306,0.223032
0.182826,0.226708,0.222838
0.324286,0.210811,0.275412
0.198732,0.200484,0.195985
0.287497,0.123134,0.147640
0.189434,0.105174,0.260979
0.144108,0.125666,0.218822
0.271708,0.198067,0.274897
0.168914,0.151685,0.276724
0.235337,0.195488,0.233315
0.187465,0.238934,0.237670
0.224564,0.156082,0.193360
0.143050,0.138856,0.154550
0.247444,0.099923,0.254427
0.247271,0.090783,0.271772
0.288858,0.117128,0.212232
0.274412,0.113520,0.251810
0.298202,0.078954,0.245506
0.241629,0.175756,0.245733
0.157187,0.173692,0.174156
0.233169,0.054382,0.248757
0.188737,0.140287,0.174359
0.259863,0.129394,0.206257
0.304592,0.108236,0.184288
0.179034,0.123048,0.269318
0.211914,0.115957,0.219001
0.171325,0.259159,0.223010
0.145269,0.167728,0.257888
0.313343,0.108949,0.236148
0.213545,0.151648,0.200773
0.262597,0.043264,0.173420
0.182934,0.229711,0.238261
0.113486,0.081233,0.226836
0.256048,0.229513,0.243997
0.200722,0.199858,0.319237
0.210355,0.140047,0.260043
0.262674,0.109896,0.142936
0.152232,0.121939,0.178215
0.236350,0.128138,0.229571
0.111219,0.159963,0.242662
0.616199,0.574668,0.523778
0.661891,0.532479,0.528804
0.534074,0.542798,0.474243
0.538814,0.625744,0.594879
0.580776,0.667658,0.564579
0.544848,0.603814,0.538314
0.586179,0.540213,0.616150
0.571224,0.546431,0.571138
0.630337,0.532785,0.602077
0.579562,0.573307,0.607436
0.553051,0.607973,0.505712
0.552069,0.631492,0.536145
0.668818,0.684892,0.485318
0.657179,0.552988,0.557569
0.595682,0.512695,0.499803
0.622865,0.613643,0.624316
0.550285,0.575925,0.543336
0.576980,0.633691,0.548925
0.548015,0.600513,0.467681
0.587111,0.535318,0.461500
0.591363,0.475204,0.551764
0.500875,0.509317,0.548007
0.599399,0.605609,0.450283
0.579235,0.558729,0.572250
0.677077,0.582424,0.571654
0.521191,0.590815,0.547727
0.602055,0.666344,0.604278
0.606200,0.562381,0.517942
0.612673,0.554457,0.588153
0.632216,0.542236,0.474262
0.596579,0.601333,0.587468
0.532625,0.566462,0.611637
0.574193,0.655513,0.477912
0.574336,0.633369,0.500108
0.607451,0.631312,0.587417
0.585904,0.494413,0.511856
0.523181,0.628499,0.494113
0.648093,0.626073,0.581316
0.679845,0.590149,0.533882
0.636600,0.552383,0.569497
0.648283,0.570957,0.466571
0.576616,0.563537,0.565440
0.609184,0.567701,0.615694
0.684107,0.606260,0.568560
0.617873,0.535696,0.618753
0.613252,0.568592,0.578747
0.638224,0.629431,0.443289
0.641315,0.655266,0.608923
0.523120,0.557927,0.486336
0.620883,0.636968,0.551002
0.426488,0.273816,0.180511
0.360032,0.301954,0.151197
0.417909,0.383746,0.170498
0.407500,0.345448,0.149609
0.385521,0.325770,0.243583
0.352897,0.336184,0.096758
0.445777,0.439519,0.142543
0.291738,0.310872,0.130686
0.445721,0.377255,0.204570
0.381910,0.403887,0.194346
0.332264,0.235123,0.133474
0.359834,0.270736,0.135386
0.294836,0.343773,0.132659
0.426169,0.380060,0.126280
0.271310,0.328491,0.159224
0.416673,0.313524,0.129428
0.375079,0.320675,0.208655
0.324241,0.316738,0.179854
0.448784,0.330709,0.126644
0.421010,0.359191,0.114375
0.314134,0.363940,0.201882
0.285503,0.260698,0.187670
0.339950,0.287005,0.156424
0.341576,0.361083,0.085155
0.347925,0.352923,0.168008
0.371852,0.401048,0.165006
0.405155,0.343053,0.178412
0.336663,0.322364,0.150328
0.455062,0.357804,0.168046
0.393590,0.371611,0.114788
0.369650,0.292122,0.216243
0.360068,0.344806,0.116889
0.424147,0.317267,0.115570
0.385140,0.286565,0.181840
0.344444,0.312573,0.151291
0.379316,0.384133,0.157969
0.423370,0.302252,0.106338
0.305541,0.336732,0.067109
0.354681,0.350028,0.186776
0.352514,0.297167,0.129131
0.421342,0.328064,0.059369
0.441384,0.262438,0.161286
0.348010,0.339557,0.155828
0.402838,0.357327,0.270303
0.348549,0.361085,0.106056
0.429231,0.395447,0.191884
0.332042,0.352945,0.155621
0.340514,0.331660,0.208912
0.372772,0.316505,0.192382
0.405828,0.377718,0.171766
0.309403,0.167987,0.474058
0.181212,0.245086,0.556805
0.274774,0.221885,0.586873
0.283214,0.300596,0.555791
0.219022,0.262429,0.433258
0.181251,0.234408,0.463441
0.187899,0.217450,0.559850
0.275741,0.299364,0.423731
0.163853,0.206582,0.526389
0.241480,0.262947,0.488642
0.214708,0.220736,0.497764
0.213678,0.243601,0.422393
0.335255,0.288732,0.556296
0.260944,0.216082,0.562931
0.200013,0.260165,0.476021
0.348060,0.171151,0.420378
0.288982,0.234702,0.561335
0.280677,0.211638,0.540624
0.293691,0.209875,0.496930
0.226472,0.271992,0.610912
0.212891,0.184468,0.510618
0.192434,0.256475,0.525409
0.286126,0.223842,0.484657
0.264436,0.248542,0.473767
0.272934,0.240919,0.562908
0.195237,0.269774,0.538940
0.241066,0.204491,0.445257
0.186254,0.213322,0.554049
0.264563,0.170111,0.683798
0.252877,0.264296,0.487314
0.329910,0.248176,0.499838
0.324978,0.316159,0.459345
0.263249,0.216620,0.563082
0.203046,0.188449,0.536544
0.239733,0.214690,0.406073
0.210006,0.129023,0.463219
0.283665,0.186845,0.563215
0.215469,0.235760,0.524331
0.267302,0.237859,0.515265
0.262759,0.283887,0.503094
0.197933,0.178523,0.416209
0.254743,0.171971,0.586743
0.286186,0.233011,0.479207
0.244407,0.251054,0.485857
0.363774,0.209912,0.551359
0.319294,0.232584,0.537792
0.297887,0.205854,0.474245
0.192788,0.238947,0.513157
0.361795,0.392716,0.467273
0.204969,0.243121,0.490644
0.595778,0.539631,0.293579
0.655996,0.533807,0.272804
0.547087,0.504189,0.336150
0.609346,0.571424,0.337620
0.685201,0.503819,0.311957
0.626384,0.527373,0.274635
0.661939,0.513271,0.256506
0.657014,0.586665,0.284821
0.726077,0.581055,0.353296
0.621050,0.450398,0.296522
0.685102,0.614617,0.320199
0.645137,0.568737,0.329253
0.646159,0.618188,0.273624
0.555429,0.542619,0.250330
0.670420,0.578888,0.334755
0.631351,0.539996,0.256073
0.623958,0.534178,0.237358
0.572947,0.609810,0.244968
0.632882,0.579893,0.312662
0.597302,0.495595,0.241139
0.546009,0.610240,0.305905
0.715991,0.555853,0.367794
0.640447,0.503800,0.290611
0.668880,0.514246,0.390350
0.652867,0.437467,0.311359
0.615279,0.519184,0.224365
0.642935,0.582171,0.256911
0.563659,0.502678,0.298348
0.684415,0.604599,0.330177
0.666011,0.598814,0.246218
0.678664,0.558842,0.268088
0.674330,0.552925,0.222937
0.680596,0.522457,0.293848
0.558634,0.562807,0.182191
0.637804,0.612815,0.318944
0.696378,0.529282,0.266868
0.687806,0.547445,0.265708
0.746556,0.543594,0.378593
0.628587,0.505766,0.156442
0.716381,0.476371,0.303079
0.646867,0.545349,0.222190
0.634796,0.502707,0.281273
0.743710,0.475924,0.329309
0.639844,0.514348,0.186774
0.611928,0.474021,0.228998
0.618479,0.548363,0.278001
0.651562,0.469213,0.302655
0.685086,0.480842,0.311327
0.701544,0.575958,0.256255
0.606311,0.489442,0.346249
0.492227,0.496874,0.676926
0.607398,0.497988,0.649520
0.554031,0.495335,0.657413
0.445975,0.634330,0.606569
0.514227,0.507844,0.534975
0.482711,0.559834,0.660090
0.539662,0.535963,0.670288
0.448625,0.486365,0.637163
0.526151,0.533025,0.661472
0.513689,0.592010,0.654953
0.424902,0.533968,0.673102
0.466171,0.588826,0.679738
0.550523,0.543138,0.731727
0.477256,0.545420,0.661293
0.506594,0.569799,0.674903
0.452338,0.516034,0.666961
0.535878,0.561482,0.693650
0.484206,0.473397,0.650624
0.486242,0.497812,0.617053
0.541512,0.559803,0.699285
0.508724,0.567284,0.655681
0.491726,0.567932,0.659821
0.519503,0.515567,0.672003
0.511254,0.481029,0.712477
0.528441,0.486057,0.687654
0.487441,0.482011,0.617390
0.446924,0.490353,0.708998
0.498052,0.607039,0.756038
0.522989,0.488486,0.617831
0.484424,0.533061,0.680629
0.418506,0.561038,0.644066
0.466906,0.584065,0.754173
0.510540,0.563083,0.742649
0.548690,0.562240,0.679866
0.467053,0.466627,0.590019
0.449829,0.557551,0.573475
0.567680,0.454730,0.702743
0.407049,0.475981,0.644685
0.460320,0.477360,0.674733
0.533292,0.540045,0.702614
0.502003,0.632836,0.713195
0.488451,0.525995,0.625847
0.478895,0.493973,0.799568
0.506390,0.505433,0.638023
0.534769,0.515232,0.670077
0.495683,0.534567,0.606722
0.547406,0.542155,0.798677
0.486153,0.481976,0.693506
0.511380,0.560745,0.700390
0.509684,0.432063,0.669302
0.421621,0.290933,0.413521
0.474316,0.264796,0.554739
0.383047,0.284245,0.470474
0.497909,0.294018,0.491897
0.403158,0.354478,0.468541
0.367008,0.251103,0.563094
