m_campaign_0,m_campaign_1,m_campaign_2
0.478038,0.850651,0.382307
0.337165,0.878126,0.254805
0.321767,0.841914,0.307910
0.378598,0.766137,0.389080
0.445473,0.692409,0.523645
0.327068,0.821723,0.445405
0.487490,0.626364,0.353801
0.417746,0.772632,0.556022
0.446686,0.859580,0.489181
0.397205,0.722825,0.469020
0.427512,0.827612,0.330909
0.430113,0.713644,0.422670
0.205903,0.916389,0.389761
0.508603,0.788167,0.423284
0.456646,0.735561,0.443234
0.408917,0.720507,0.489408
0.569170,0.723811,0.383002
0.476722,0.709631,0.440158
0.519106,0.791260,0.450475
0.401400,0.823111,0.408624
0.502512,0.768247,0.294501
0.456608,0.800540,0.401491
0.417969,0.870262,0.428263
0.485267,0.684224,0.481338
0.449500,0.775479,0.372036
0.309975,0.846120,0.459178
0.448851,0.718977,0.392348
0.460362,0.855531,0.435128
0.535733,0.833239,0.379213
0.532365,0.757440,0.360325
0.356246,0.841197,0.381437
0.485390,0.909275,0.479619
0.294103,0.723296,0.494971
0.412706,0.849300,0.414125
0.510772,0.669372,0.476304
0.460219,0.829892,0.427567
0.332530,0.831737,0.424376
0.525730,0.753224,0.450666
0.447637,0.742422,0.407809
0.443437,0.773445,0.441400
0.488159,0.730701,0.443267
0.523359,0.807956,0.458999
0.444705,0.811041,0.554986
0.495702,0.792880,0.433613
0.404345,0.816812,0.542541
0.453765,0.780678,0.319865
0.465226,0.751661,0.436094
0.478298,0.671688,0.448074
0.474580,0.857531,0.391747
0.400980,0.855345,0.404144
0.535892,0.795455,0.391791
0.492062,0.852916,0.447415
0.380888,0.783117,0.396635
0.386822,0.798520,0.323044
0.497657,0.876551,0.441496
0.454359,0.817803,0.328461
0.544399,0.870461,0.377461
0.554276,0.939987,0.455624
0.453807,0.861989,0.402976
0.365449,0.713470,0.451043
0.491550,0.764448,0.444656
0.493295,0.795191,0.325684
0.502361,0.845531,0.522862
0.395479,0.779562,0.415727
0.438067,0.783006,0.406909
0.538625,0.737835,0.498840
0.529036,0.845590,0.468935
0.574801,0.778606,0.437999
0.331239,0.910681,0.330010
0.387178,0.668542,0.453467
0.443497,0.782112,0.291487
0.318180,0.830955,0.417991
0.424992,0.823251,0.536461
0.457299,0.874893,0.419452
0.412782,0.874865,0.319711
0.408699,0.923093,0.457665
0.462579,0.761204,0.397818
0.521805,0.712214,0.422170
0.497612,0.734795,0.377210
0.417134,0.771417,0.473611
0.509955,0.618043,0.490338
0.413332,0.725329,0.618699
0.450047,0.787136,0.467161
0.416193,0.952225,0.520409
0.489117,0.787326,0.420886
0.477070,0.742288,0.444195
0.335934,0.884591,0.490057
0.390091,0.831689,0.387110
0.406555,0.868516,0.490756
0.376663,0.804089,0.434360
0.520311,0.860121,0.500245
0.522463,0.745999,0.389468
0.459831,0.873822,0.283820
0.592019,0.897468,0.508025
0.477174,0.827380,0.461523
0.441938,0.727401,0.333699
0.588903,0.691255,0.514139
0.489757,0.678070,0.481428
0.542369,0.808960,0.460379
0.453583,0.743013,0.302357
0.393517,0.861507,0.476664
0.454648,0.725000,0.456427
0.457943,0.829484,0.238375
0.383311,0.836622,0.412433
0.543401,0.787836,0.358410
0.255215,0.909118,0.358819
0.472511,0.833630,0.507155
0.493351,0.763893,0.426463
0.457266,0.611631,0.397371
0.492255,0.758806,0.432343
0.569903,0.823950,0.445108
0.461828,0.748566,0.405672
0.411820,0.732961,0.422649
0.452739,0.812685,0.378427
0.616875,0.750716,0.416267
0.580898,0.796743,0.445449
0.354614,0.725711,0.421635
0.511767,0.751920,0.369744
0.442265,0.750851,0.342034
