m_campaign_0,m_campaign_1,m_campaign_2
0.245915,0.458870,0.399175
0.240499,0.575998,0.341781
0.189672,0.565423,0.454596
0.210449,0.622926,0.351970
0.088742,0.605602,0.551459
0.224322,0.666816,0.443249
0.320090,0.562800,0.267314
0.203983,0.617008,0.445064
0.098256,0.600446,0.402771
0.259579,0.542670,0.380624
0.227624,0.644703,0.363741
0.158757,0.668140,0.265156
0.151770,0.475492,0.570889
0.028994,0.777329,0.564981
0.112016,0.634723,0.231559
0.117677,0.541352,0.465501
0.181334,0.578575,0.348211
0.232996,0.601791,0.448472
0.118232,0.670656,0.291243
0.238657,0.603629,0.548167
0.168790,0.638911,0.361321
0.180685,0.635863,0.438713
0.082307,0.541583,0.349160
0.249342,0.635078,0.415885
0.149134,0.696174,0.340627
0.272222,0.633705,0.368612
0.196092,0.561903,0.450424
0.188083,0.671688,0.441441
0.165896,0.586931,0.350216
0.318784,0.601455,0.343867
0.088188,0.575543,0.299085
0.264585,0.718790,0.310492
0.165630,0.446528,0.257459
0.127238,0.537863,0.381497
0.090382,0.745723,0.288389
0.257380,0.558301,0.450237
0.261719,0.590649,0.440897
0.285688,0.526204,0.212620
0.237807,0.614074,0.280776
0.087900,0.576434,0.455049
0.229760,0.607914,0.366722
0.266769,0.446707,0.591204
0.167952,0.510166,0.437005
0.214796,0.538228,0.489746
0.327746,0.732553,0.364402
0.129997,0.509620,0.429674
0.184084,0.646087,0.402924
0.044463,0.699616,0.453840
0.237537,0.646069,0.363676
0.133545,0.687530,0.514577
0.176785,0.555008,0.438695
0.179269,0.457892,0.474660
0.169153,0.506307,0.483251
0.229885,0.503915,0.441701
0.288836,0.593266,0.269227
0.249674,0.694994,0.359983
0.300953,0.605221,0.433412
0.247837,0.763876,0.412045
0.181909,0.596039,0.400652
0.253290,0.501434,0.400293
0.081290,0.558986,0.546912
0.199405,0.592421,0.332312
0.113337,0.511477,0.296069
0.128510,0.618246,0.339259
0.365896,0.587894,0.449708
0.245871,0.641682,0.364748
0.214494,0.461867,0.380500
0.116460,0.598954,0.357446
0.175811,0.252338,0.236117
0.166965,0.682308,0.388977
0.298029,0.670543,0.291499
0.388596,0.577504,0.421276
0.239879,0.608978,0.410350
0.226718,0.512080,0.314682
0.215059,0.626006,0.561713
0.162833,0.659526,0.202760
0.159155,0.541316,0.327365
0.312517,0.617964,0.543459
0.214907,0.664460,0.477875
0.297207,0.643646,0.294131
0.412441,0.586773,0.469715
0.161950,0.692082,0.435195
0.188941,0.637885,0.335538
0.265995,0.575613,0.503252
0.163450,0.717708,0.408089
0.218172,0.605552,0.379631
0.287632,0.522171,0.321194
0.193836,0.531947,0.344264
0.135590,0.722066,0.386716
0.219972,0.684943,0.418757
0.046312,0.593982,0.298817
0.196316,0.578906,0.275431
0.179417,0.486105,0.496135
0.178424,0.668156,0.222125
0.157377,0.474080,0.433643
0.187066,0.537328,0.415848
0.213897,0.701638,0.427125
0.199794,0.693720,0.537331
0.264005,0.573558,0.324174
0.459202,0.524633,0.401868
0.296106,0.436412,0.314953
0.266521,0.462105,0.301843
0.178462,0.593905,0.510346
0.106212,0.599222,0.530446
0.138041,0.626035,0.435008
0.156829,0.631885,0.510873
0.112972,0.624453,0.315677
0.201923,0.598321,0.352582
0.369652,0.667269,0.501364
0.277582,0.533571,0.268393
0.260652,0.445791,0.540201
0.229387,0.683882,0.313624
0.272343,0.617260,0.321573
0.116658,0.508810,0.365929
0.230803,0.585345,0.464741
0.229682,0.610880,0.309712
0.343087,0.624596,0.476079
0.169385,0.618727,0.459516
0.255839,0.755785,0.389163
0.149131,0.425979,0.366274
0.272087,0.630700,0.412727
0.087405,0.549702,0.609765
0.251046,0.730445,0.384756
0.116713,0.683748,0.459896
0.355650,0.638986,0.360850
0.131525,0.681184,0.396377
0.230966,0.522743,0.413910
0.121023,0.573746,0.324432
0.392279,0.672229,0.440906
0.321759,0.684519,0.399724
0.297149,0.609805,0.400675
0.241713,0.682375,0.328315
0.168660,0.628167,0.424961
0.085001,0.595080,0.228011
0.127354,0.645536,0.314400
0.255402,0.557145,0.466903
0.264430,0.538388,0.180652
0.214047,0.618480,0.345098
0.195394,0.569139,0.493056
0.165943,0.598246,0.496362
0.302606,0.661013,0.412135
0.221713,0.612200,0.545845
0.207450,0.617767,0.393550
0.273341,0.412945,0.426734
0.296724,0.594705,0.443243
0.213760,0.479458,0.256743
0.150397,0.607480,0.340977
0.140952,0.580018,0.319601
0.242676,0.506536,0.241950
0.356495,0.527279,0.447451
0.210288,0.476770,0.364928
0.090552,0.637840,0.479241
0.202883,0.587274,0.474036
0.117542,0.565112,0.301138
0.129932,0.471448,0.342490
0.220209,0.702005,0.405986
0.337893,0.609809,0.341352
0.287547,0.714608,0.402437
0.211575,0.638159,0.338233
0.199644,0.825892,0.461578
0.210982,0.611793,0.420598
0.254806,0.530121,0.414880
0.170050,0.636326,0.303935
0.240997,0.584112,0.347717
0.219262,0.576024,0.430930
0.340405,0.594392,0.352411
0.069817,0.566570,0.436332
0.234961,0.498897,0.380811
0.193897,0.663283,0.447968
0.285241,0.602699,0.265946
0.307977,0.536232,0.312467
0.146844,0.581315,0.299716
0.260483,0.631561,0.310403
0.179245,0.572322,0.530622
0.183327,0.549143,0.481907
0.220947,0.623355,0.417488
