m_campaign_0,m_campaign_1,m_campaign_2
0.213034,0.533812,0.605076
0.302290,0.508163,0.659798
0.177030,0.683920,0.694325
0.226295,0.556729,0.716677
0.137334,0.483472,0.849461
0.265125,0.571914,0.579452
0.120980,0.494109,0.559355
0.021482,0.600853,0.804647
0.167844,0.625718,0.699146
0.062354,0.597699,0.609499
0.151419,0.507121,0.679250
0.021221,0.542593,0.599194
0.168712,0.495377,0.714903
0.075715,0.333598,0.630152
0.193978,0.602140,0.616402
0.179460,0.576802,0.833357
0.141358,0.596456,0.617909
0.236702,0.527646,0.552082
0.144762,0.534002,0.651520
0.237088,0.547937,0.666403
0.109642,0.551099,0.639905
0.031262,0.653455,0.582887
0.282750,0.542233,0.725500
0.236629,0.554729,0.680465
0.192077,0.451330,0.600305
0.203334,0.589917,0.621105
0.128975,0.574448,0.664646
0.168194,0.466053,0.626208
0.194271,0.513116,0.648246
0.140580,0.438086,0.717639
0.326143,0.594098,0.573267
0.291792,0.535425,0.674520
0.235594,0.504283,0.543304
0.116042,0.588312,0.734386
0.064383,0.442945,0.644508
0.113588,0.591778,0.839261
0.168716,0.510082,0.611199
0.248139,0.578666,0.638050
0.167996,0.620913,0.734277
0.178029,0.604198,0.510288
0.146951,0.499287,0.710980
0.113754,0.640201,0.699132
0.178174,0.494928,0.717455
0.059424,0.648399,0.772995
0.224661,0.497512,0.493636
0.442262,0.547045,0.617156
0.128997,0.658872,0.742587
0.049620,0.434237,0.616168
0.192968,0.538505,0.564892
0.249194,0.421019,0.827001
0.179807,0.455885,0.581845
0.276758,0.737761,0.890376
0.134634,0.498147,0.704706
0.209873,0.567844,0.592235
0.313730,0.642673,0.551090
0.208028,0.544594,0.641435
0.089161,0.588114,0.524388
0.225414,0.499666,0.622366
0.166412,0.678133,0.563572
0.101746,0.451942,0.569897
0.232109,0.457081,0.577838
0.169192,0.572268,0.757260
0.116812,0.557078,0.709643
0.088828,0.501226,0.570134
0.149439,0.533204,0.724775
0.210154,0.584240,0.737547
0.247766,0.540897,0.615440
0.034927,0.580566,0.736306
0.193388,0.545232,0.519473
0.143202,0.517857,0.648323
0.334530,0.618162,0.679309
0.114583,0.502975,0.518641
0.242763,0.562759,0.694036
0.057190,0.441605,0.588086
0.130816,0.684360,0.857251
0.222693,0.512826,0.755852
0.096817,0.391997,0.567231
0.248806,0.698013,0.468892
0.143221,0.572895,0.451933
0.061680,0.530715,0.489350
0.215247,0.602035,0.481643
0.328846,0.344199,0.742902
0.275789,0.619602,0.642534
0.025917,0.592297,0.693705
0.174236,0.583340,0.620348
0.275361,0.786516,0.763392
0.319761,0.511293,0.632505
0.106965,0.561350,0.674063
0.213060,0.765197,0.706624
0.284046,0.648329,0.606844
0.195304,0.725127,0.573168
0.043500,0.497392,0.665906
0.191438,0.508321,0.644778
0.202560,0.568504,0.543765
0.082086,0.683033,0.624061
0.212413,0.557046,0.783172
0.161415,0.454265,0.580013
